Acc:;Time:
-0,9230957;0
-1,095428;0,03324509
-1,021301;0,08325005
-0,9108887;0,09965897
-1,099335;0,1339397
-1,029968;0,1883698
-0,8132935;0,2041798
-0,7954712;0,2351933
-0,7278137;0,285181
-0,5036926;0,3009052
-0,1043091;0,3352699
-0,0350647;0,385767
0,01818848;0,4015617
0,1043091;0,4353218
0,1244507;0,4882164
0,1244507;0,5031109
0,1880798;0,534811
-8,003784;0,5874424
-8,003784;0,6026936
0,09698486;0,6352863
-0,3668823;0,6852207
-0,3668823;0,7011089
-1,13562;0,735445
-1,13562;0,7887554
-1,063202;0,8046551
-1,063202;0,8356457
-1,063202;0,887289
-0,9527894;0,9028263
-0,9527894;0,9352131
-0,9753723;0,9877415
-0,9753723;1,003271
-0,960968;1,035418
-0,9686584;1,087908
-0,9723206;1,103918
-0,9723206;1,135275
-0,967926;1,18725
-0,9706115;1,203527
-0,9682922;1,235102
-0,9682922;1,283957
-0,9682922;1,30102
-0,9698792;1,335756
-0,9685364;1,389372
-0,9704895;1,405123
-0,969635;1,43638
-0,9686584;1,489019
-0,969635;1,505236
-0,9702454;1,535913
-0,9698792;1,587553
-0,9698792;1,602415
-0,9664612;1,635359
-0,9735412;1,68292
-0,9635315;1,70207
-0,9624328;1,749792
-0,9624328;1,768694
-0,9659729;1,816664
-0,9700012;1,835806
-0,969635;1,885824
-0,9640198;1,902735
-0,978302;1,936205
-0,9822083;1,986326
-0,9822083;2,002237
