Acc:;Time:
-0,983551;0
-0,983551;0,02002239
-0,8666687;0,05196714
-0,9498597;0,1004343
-0,9498597;0,1193347
-0,9964905;0,1677375
-0,9964905;0,1853585
-1,02655;0,2184806
-0,9607239;0,2667742
-0,9607239;0,2853079
-1,010193;0,3336077
-1,010193;0,3518963
-1,011047;0,3996611
-1,011047;0,4195328
-1,006165;0,4675593
-1,006165;0,4849949
-0,9951477;0,5190864
-0,9445801;0,5687389
-0,9445801;0,5849667
-0,942627;0,6196499
-0,8623962;0,6692567
-0,8623962;0,6850138
-0,8459167;0,7187099
-0,749054;0,7675142
-0,749054;0,7849693
-0,6853027;0,8189454
-0,2390137;0,8675842
-0,2390137;0,8857708
0,07669067;0,9197145
-0,04324341;0,9709625
-0,04324341;0,9857969
-0,01867676;1,019509
-0,7594299;1,068745
-0,7594299;1,085617
-1,522797;1,118842
-0,1038208;1,168175
-0,1038208;1,185364
-0,2744446;1,219306
-1,397217;1,269251
-1,397217;1,284896
-1,171387;1,318507
-0,9328613;1,366968
-0,9328613;1,385503
-0,9423828;1,433469
-0,9423828;1,452288
-0,9411621;1,500156
-0,9411621;1,519019
-0,9564514;1,567826
-0,9564514;1,585728
-0,9526672;1,619414
-0,9529114;1,66948
-0,9529114;1,685144
-0,9546203;1,71843
-0,9536437;1,766469
-0,9536437;1,785467
-0,9530334;1,833401
-0,9530334;1,851978
-0,9533997;1,900067
-0,9533997;1,918858
-0,95401;1,967012
-0,95401;1,985147
-0,95401;2,018703
