Acc:;Time:
-1,037292;0
-1,037292;0,01847994
-0,9936829;0,0444895
-0,9249267;0,07992256
-0,9326171;0,1121963
-1,012878;0,1478372
-1,06076;0,1782027
-1,08725;0,2156302
-1,02594;0,2459944
-1,031921;0,2954265
-1,031921;0,3134898
-0,9279785;0,3607727
-0,9279785;0,379645
-0,90271;0,4294976
-0,90271;0,4463316
-0,8948975;0,4803711
-0,909668;0,5283269
-0,9099122;0,5462548
-1,014709;0,5796472
-1,026672;0,6283675
-0,9335937;0,6466521
-0,6616211;0,6797327
-0,4605713;0,7278379
-0,5581665;0,7467808
-0,2177734;0,7941836
-0,2177734;0,8130885
0,007202148;0,8601626
0,04910278;0,8797704
0,08218384;0,9271356
0,08084106;0,9465078
-5,027588;0,9939731
-1,454376;1,013655
-0,04360962;1,062907
-0,04360962;1,079641
-1,058655;1,11308
-1,561371;1,160829
-1,561371;1,179303
-0,8559265;1,213246
-0,8559265;1,260863
-0,967926;1,279914
-0,9706115;1,327785
-0,9706115;1,346391
-0,9654846;1,39412
-0,9654846;1,412619
-0,9759826;1,461293
-0,9759826;1,479823
-0,9630432;1,527824
-0,9710998;1,546409
-0,967926;1,594947
-0,967926;1,61333
-0,9686584;1,660741
-0,9687806;1,6799
-0,9674377;1,727577
-0,9674377;1,746401
-0,9684143;1,794136
-0,9684143;1,813353
-0,9678039;1,860768
-0,966095;1,879763
-0,966217;1,92702
-0,9676818;1,946642
-0,9675598;1,994694
-0,9675598;2,013379
