Acc:;Time:
-0,8654479;0
-0,9883118;0,05181789
-0,9883118;0,06628609
-1,052673;0,1005421
-0,9674377;0,1540556
-0,9674377;0,1701059
-0,9765931;0,2014146
-0,9895325;0,2514658
-0,9895325;0,2666998
-0,9859924;0,3001766
-0,9907532;0,3475499
-0,9907532;0,3677163
-0,9302979;0,4168181
-0,9302979;0,4336119
-0,9157715;0,4674687
-0,8713073;0,5166893
-0,8713073;0,5336905
-0,7189026;0,5674458
-0,5386047;0,618403
-0,5386047;0,6335025
-0,3510132;0,6672215
-0,05691528;0,7169967
-0,05691528;0,7341824
-0,002197266;0,7667027
0,09625244;0,816514
0,09625244;0,8336172
0,1002808;0,8682046
-2,543945;0,9163527
-2,543945;0,9342122
-0,4957581;0,9674935
-0,24646;1,017415
-0,24646;1,033705
-0,5320129;1,066978
-1,076874;1,115712
-1,076874;1,133267
-0,8808289;1,182293
-0,8808289;1,200254
-0,9276123;1,24861
-0,9276123;1,266815
-0,9576721;1,314763
-0,9576721;1,333507
-0,9608459;1,382565
-0,9608459;1,400331
-0,9641418;1,447813
-0,9641418;1,466925
-0,9619445;1,515849
-0,9619445;1,533641
-0,9617004;1,581154
-0,9617004;1,598572
-0,9627991;1,632033
-0,9621887;1,683286
-0,9621887;1,700706
-0,9623108;1,734516
-0,9634094;1,784914
-0,9634094;1,800113
-0,9620667;1,833355
-0,9635315;1,881598
-0,9635315;1,900548
-0,9627991;1,948464
-0,9627991;1,966984
-0,9632874;2,014647
