Acc:;Time:
-1,056213;0
-0,9911193;0,05373764
-0,9317628;0,0700264
-0,9951477;0,1005516
-1,038879;0,1557846
-1,025574;0,1716614
-1,050598;0,2024956
-1,010315;0,2552147
-0,9409179;0,2713547
-0,9497375;0,3069229
-0,9966125;0,3608017
-0,9966125;0,3813477
-0,9627991;0,4292259
-0,9627991;0,4440308
-0,9648742;0,4755058
-0,9615784;0,5241585
-0,9653625;0,5417328
-0,9326171;0,5897255
-0,9403076;0,6089134
-0,8538513;0,6565819
-0,7745972;0,6748848
-0,745636;0,7092552
-0,5613403;0,756813
-0,5653687;0,7757721
-0,0798645;0,8238487
-0,0798645;0,8417969
0,07766724;0,8759232
0,0960083;0,9289093
0,1248169;0,944294
-1,06369;0,9755898
0,8106079;1,029221
-1,202423;1,045673
-0,5775757;1,076099
-0,220459;1,126865
-0,2049561;1,142059
-0,9117431;1,175652
-1,252991;1,225861
-1,065765;1,241722
-0,8001099;1,276291
-0,9640198;1,329449
-0,9640198;1,345673
-0,8968506;1,375935
-0,9240723;1,431122
-0,9240723;1,447346
-0,909668;1,477642
-0,909668;1,528515
-0,9197998;1,543667
-0,9176025;1,577717
-0,9152832;1,630539
-0,9152832;1,64629
-0,9172363;1,678005
-0,916748;1,732124
-0,916748;1,747612
-0,9171142;1,779057
-0,9163818;1,830002
-0,9122314;1,845299
-0,9116211;1,878384
-0,9132079;1,930569
-0,9132079;1,9454
-0,932251;1,978363
-0,9089356;2,031433
