Acc:;Time:
-0,8736267;0
-0,8736267;0,03341484
-0,9519348;0,08626938
-0,7656555;0,1021261
-0,7656555;0,1333132
-0,9891662;0,1866217
-0,9706115;0,2022848
-0,9706115;0,2336712
-0,9985657;0,2870464
-1,090912;0,3029537
-1,090912;0,3340626
-0,9471741;0,3876553
-1,019836;0,4039202
-1,019836;0,4341059
-0,9436035;0,4870777
-0,9436035;0,5023603
-0,9623108;0,5348625
-0,9724426;0,5865202
-0,9724426;0,6016731
-0,9785462;0,6342764
-0,962677;0,6872482
-0,962677;0,7025557
-0,8813171;0,7342958
-0,426239;0,7871094
-0,302887;0,8033619
-0,302887;0,8346586
-0,09417725;0,8873787
-0,04129028;0,9031553
-0,04129028;0,9344835
0,05947876;0,9877768
0,1083374;1,00392
0,1083374;1,034599
-2,49231;1,084625
-2,49231;1,097476
0,0329895;1,13187
0,09942627;1,166508
-0,3809509;1,200646
-0,3809509;1,233315
-0,7920532;1,263743
-2,215057;1,297631
-1,920105;1,330304
-0,5492554;1,365455
-0,9530334;1,398021
-1,000031;1,431922
-0,8311462;1,465087
-0,974884;1,4994
-0,90979;1,531613
-0,9262695;1,565282
-0,9351807;1,598502
-0,9317628;1,632638
-0,9342042;1,665574
-0,9333496;1,700034
-0,9333496;1,731662
-0,9360351;1,765265
-0,9345703;1,800277
-0,9345703;1,833884
-0,9331054;1,865079
-0,9349365;1,898404
-0,9334717;1,933164
-0,934082;1,982804
-0,9343262;2,00077
