Acc:;Time:
-0,7428284;0
-0,8237915;0,01780605
-1,020569;0,05095005
-1,006165;0,1044006
-1,006165;0,1202345
-0,9898987;0,1514854
-0,9584045;0,204196
-0,9584045;0,2200794
-0,9593811;0,25107
-0,9985657;0,3035774
-1,024719;0,3198719
-0,9477844;0,3512573
-0,9257812;0,4002485
-0,9373779;0,417634
-0,9378662;0,4652586
-0,8972167;0,4843378
-0,8372497;0,5322437
-0,6971436;0,5507984
-0,5245667;0,5986662
-0,5209045;0,617588
-0,3297729;0,6663475
-0,2633362;0,684577
-0,2244873;0,7344465
-0,1395874;0,7500973
0,02380371;0,784914
0,0486145;0,8371687
0,05862426;0,8535023
-4,80127;0,884264
-2,729004;0,9327679
0,03323364;0,9506912
-0,2696838;0,9846258
-0,2696838;1,034817
-0,5604858;1,056808
-1,360718;1,10803
-1,360718;1,129391
-0,8052368;1,177003
-0,8052368;1,191422
-0,9888;1,22345
-1,044128;1,27449
-0,9659729;1,291101
-0,9706115;1,32373
-0,9762268;1,376421
-0,9762268;1,392118
-0,9767151;1,423978
-0,9720764;1,473845
-0,9720764;1,489945
-0,9714661;1,523125
-0,97464;1,57138
-0,9745178;1,589579
-0,9757385;1,637985
-0,9734192;1,656623
-0,9745178;1,706025
-0,9745178;1,723761
-0,9740295;1,771181
-0,9732971;1,790255
-0,9739075;1,837765
-0,9734192;1,856564
-0,9737854;1,903947
-0,9743958;1,923129
-0,9728088;1,970695
-0,9740295;1,989965
-0,9741517;2,037582
