Acc:;Time:
-1,06308;0
-1,035583;0,02287865
-1,001251;0,07183456
-0,9169922;0,08815765
-0,9169922;0,1185074
-1,005066;0,1684456
-1,008728;0,1847897
-1,008728;0,2178364
-0,9645081;0,2659245
-0,950348;0,2847881
-0,974762;0,3329144
-0,9197998;0,3513012
-0,9989319;0,3873272
-0,9989319;0,4145222
-0,9102783;0,4477558
-0,9474183;0,484745
-0,8633728;0,532629
-0,8633728;0,5513897
-0,2042236;0,5997429
-0,2042236;0,6186848
-0,1047974;0,6659737
-0,03579712;0,6847878
0,05007935;0,7322693
0,05007935;0,7514877
0,3414917;0,7985802
0,3414917;0,8189983
3,694977;0,8675518
6,66333;0,8847847
6,66333;0,9187527
0,03067017;0,9668999
0,1438904;0,9851799
1,50116;1,03314
1,303802;1,051287
1,303802;1,085627
1,085541;1,136021
0,9312745;1,151842
0,9312745;1,184631
1,04071;1,233566
1,04071;1,251766
1,028625;1,300259
1,028625;1,318823
1,020203;1,352011
1,018372;1,401865
1,024475;1,418022
1,02179;1,451969
1,021057;1,50202
1,0224;1,517872
1,021179;1,552124
1,022156;1,605316
1,022156;1,622587
1,022522;1,652033
1,021667;1,70122
1,0224;1,72537
1,020935;1,7813
1,023499;1,796377
1,022888;1,844091
1,02533;1,859228
1,027039;1,891264
1,018127;1,939581
1,023621;1,956747
1,023621;1,989962
1,024109;2,041029
